id,name,type,power,mp_cost,max_cooldown,description,category,range,attach_element,attach_strength,attach_turns,dot_damage,dot_turns,freeze_turns,special_effect,special_effect_value,special_effect_duration,reaction_triggers
aegis_blessing,Aegis Blessing,attack,0.8,7,4,Team-wide damage reduction aura; team survival core.,utility,3,water,weak,2,,,,def_debuff,0.1,2,"[{""element"":""fire"",""reaction"":""vaporize""}]"
afterimage,Afterimage,attack,1.75,6,2,Second dash; deals damage while leaving decoy.,mobility,3,thunder,weak,2,,,,,,,"[{""element"":""water"",""reaction"":""electrify""}]"
aimed_snipe,Aimed Snipe,attack,1.95,9,4,Charged long-range execute; high risk reward.,execute,3,fire,strong,4,,,,,,,"[{""element"":""water"",""reaction"":""vaporize""},{""element"":""ice"",""reaction"":""melt""}]"
arcane_bolt,Arcane Bolt,attack,1.35,4,2,"Single target arcane burst, strong after control.",burst,3,thunder,weak,2,,,,,,,"[{""element"":""water"",""reaction"":""electrify""}]"
arcane_prison_wave,Arcane Prison Wave,attack,1.84,13,2,Imported arcane control spell; prison-like lock.,control,3,thunder,medium,3,,,1,,,,"[{""element"":""fire"",""reaction"":""overload""}]"
arctic_storm,Arctic Storm,attack,1.6,10,3,Large AOE freeze; strong team fight control.,control,3,ice,strong,4,,,2,,,,"[{""element"":""fire"",""reaction"":""melt""}]"
backstab,Backstab,attack,1.78,6,4,Assassin close-range spike damage.,execute,3,random,weak,2,,,,,,,
barrier,Barrier,attack,0.95,5,3,Support control layer that can freeze shortly.,utility,3,water,weak,2,,,,,,,"[{""element"":""fire"",""reaction"":""vaporize""}]"
blessing_might,Blessing of Might,heal,0.9,5,3,Ally ATK buff; damage amp for allies.,utility,3,grass,weak,2,,,,heal,0.35,0,
burning_ground,Burning Ground,attack,1.15,6,3,Undispellable burn DOT; anti-heal pressure.,sustain,3,fire,medium,3,0.3,2,,,,,"[{""element"":""grass"",""reaction"":""burn""}]"
chilling_touch,Chilling Touch,attack,1.1,6,3,DOT freeze skill; extends control window on frozen targets.,control,3,ice,weak,2,0.25,3,,,,,"[{""element"":""water"",""reaction"":""freeze""}]"
command_aura,Command Aura,attack,1.18,3,2,Hero pressure pulse that keeps tempo.,utility,3,thunder,weak,2,,,,,,,"[{""element"":""water"",""reaction"":""electrify""}]"
fireball,Fireball,attack,1.5,6,3,Reliable mid-range burst projectile.,burst,3,fire,weak,2,,,,,,,"[{""element"":""water"",""reaction"":""vaporize""}]"
focus_shot,Focus Shot,attack,1.3,4,2,High precision archer poke.,burst,3,random,weak,2,,,,,,,
frost_lock,Frost Lock,attack,1.1,6,3,Applies freeze and opens combo windows.,control,3,ice,medium,3,,,2,,,,"[{""element"":""water"",""reaction"":""freeze""}]"
frost_lock_wave,Frost Lock Wave,attack,1.92,14,2,Imported frost control wave; freeze-oriented setup.,control,3,ice,strong,4,,,2,,,,"[{""element"":""fire"",""reaction"":""melt""}]"
frost_trap,Frost Trap,attack,1.05,4,2,Slow zone; remote kite and chase tool.,control,3,ice,weak,2,,,,,,,"[{""element"":""water"",""reaction"":""freeze""}]"
